ID;Company;Company Size;Location;Technology;Seniority;Salary Employment Min;Salary Employment Max;Salary B2B Min;Salary B2B Max
ee2f00c317e887ab5f190567a23df119;Ework Group;10.0;Warszawa;Java;mid;-1;-1;21840.0;26880.0
4ecb4fade5c8bf9a517b0a9547d0ec2b;Ework Group;10.0;Łódź;C#;mid;-1;-1;20160.0;25200.0
1d6ff0e24228101fb71834e7579deed1;Ework Group;10.0;Remote;JavaScript;senior;-1;-1;31248.0;36624.0
8e984aaef78bd9899c45a0c22189aa2e;Ework Group;10.0;Warszawa;Java;senior;-1;-1;23520.0;27720.0
9afc820ae5785ba4a32fff91501570bf;Ework Group;10.0;Gdańsk;Java;senior;-1;-1;23520.0;27720.0
49289d697ae39e97df8aab0f711fc5b1;Ework Group;10.0;Warszawa;JavaScript;mid;-1;-1;25200.0;28560.0
af0d10d69fd2b8bcfc1927fd4a14fbed;N-iX;1000.0;Remote;JavaScript;senior;17440.0;22672.0;20928.0;26160.0
544fdf7945ec63a92165adc5416668fe;N-iX;1000.0;Remote;JavaScript;mid;14824.0;17440.0;17876.0;20492.0
5aa50aff8fd808f42f95de7cb012c603;N-iX;1000.0;Remote;Java;expert;-1;-1;34880.0;41420.0
5037dccd12fe358de8fbe95d435530c5;N-iX;1000.0;Remote;Python;senior;21800.0;34880.0;26160.0;39240.0
ed7deefb2fd60fe1d51c125561f7ddb5;N-iX;1000.0;Remote;Java;senior;22672.0;25942.0;25288.0;29648.0
cb4c93de695a0ab84d6e009d143b5bf3;N-iX;1000.0;Remote;Java;senior;-1;-1;26160.0;30520.0
277956f549702db9c22f21e2bd52d40c;N-iX;1000.0;Kraków;Mobile;expert;26160.0;30084.0;28340.0;33572.0
1ebc5b6ca25872f9bc84fee211acc3fd;N-iX;1000.0;Remote;JavaScript;mid;16000.0;16572.0;19000.0;19865.0
4c87617b74dffc2350a622ad75fe908c;N-iX;1000.0;Remote;Python;senior;22672.0;38368.0;26160.0;43600.0
73bcfd6cd5a4fbd06a2347e1960163d6;Appfire;1000.0;Remote;Java;senior;23500.0;35000.0;-1;-1
2d97f8255bc884d299cd569b37d6a96d;Appfire;1000.0;Remote;JavaScript;expert;35000.0;42000.0;-1;-1
7d8893fd8caf284297e9fa5ead4593bb;Appfire;1000.0;Remote;Java;senior;17000.0;24500.0;-1;-1
e51990880fbea03f12d9aad81c0fb957;Appfire;1000.0;Remote;JavaScript;expert;23500.0;35000.0;-1;-1
7730bd4f596447a55a5c03f97168b041;Appfire;1000.0;Remote;JavaScript;mid;10000.0;15000.0;-1;-1
2fea4c50c05a0e03a6d579b388e98777;Appfire;1000.0;Remote;JavaScript;senior;23000.0;33000.0;-1;-1
f6bc2696afb1b545ad6faf50b59affc1;Appfire;1000.0;Remote;JavaScript;senior;20000.0;24000.0;-1;-1
bf2ac75c93d256223b79e3876a909f86;Appfire;1000.0;Remote;JavaScript;mid;20000.0;24000.0;-1;-1
15b24e46e19b8ea0bc352f8de9533860;Appfire;1000.0;Remote;JavaScript;mid;16000.0;20000.0;-1;-1
01db3e3468da3b662d1bd19053056c83;Sii Poland;10000.0;Remote;Java;senior;14000.0;17500.0;21000.0;26250.0
ea01c4da66f86d4be787969ebb1eb84a;Sii Poland;10000.0;Remote;C/C++;senior;13000.0;18500.0;16800.0;22050.0
32da366925db0e80b7497847ea527783;Sii Poland;10000.0;Remote;Java;mid;15000.0;18500.0;21000.0;26250.0
e6781a959ef6dda17339296034ca1e56;Sii Poland;10000.0;Kraków;Java;mid;-1;-1;14700.0;29400.0
1118fb40f3cdd9b50f157a65b527a85c;Sii Poland;10000.0;Remote;Java;mid;9000.0;18000.0;14700.0;29400.0
08f03075334eb91dff2b45705f66067d;HSBC Technology Poland;1000.0;Kraków;Java;senior;15000.0;22000.0;-1;-1
60ad2eea1ec3ee1549b249503aeaafb5;HSBC Technology Poland;1000.0;Remote;Java;senior;20000.0;23000.0;-1;-1
